       JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC
2007 1012.97 1017.38 1016.08 1015.97 1012.97 1014.35 1013.28 1014.77 1013.12 1013.98 1014.10 1015.72
2008 1014.88 1014.78 1017.15 1014.97 1013.30 1016.70 1014.87 1015.37 1014.88 1015.67 1013.80 1011.97
2009 1013.57 1015.85 1016.10 1015.83 1014.23 1015.07 1014.87 1013.08 1014.80 1016.10 1012.85 1013.65
2010 1013.35 1014.70 1016.03 1015.22 1015.80 1015.10 1017.93 1015.18 1013.70 1018.18 1017.35 1013.50
2011 1014.85 1015.85 1015.82 1018.25 1014.83 1015.30 1014.20 1016.05 1012.78 1015.40 1013.37 1016.60
2012 1012.67 1013.20 1016.42 1018.50 1014.30 1015.33 1018.55 1016.07 1014.27 1015.10 1013.77 1011.08
2013 1012.93 1016.67 1017.28 1014.50 1014.62 1014.97 1016.30 1012.60 1012.22 1013.52 1014.98 1013.17
2014 1012.78 1014.87 1017.38 1017.38 1012.02 1013.20 1014.62 1018.03 1014.13 1015.57 1014.10 1014.88
2015 1013.77 1018.28 1015.18 1016.73 1013.53 1016.02 1016.30 1015.95 1016.87 1015.35 1013.67 1013.07
2016 1015.07 1015.53 1018.28 1015.93 1011.65 1015.98 1015.18 1014.50 1016.68 1013.42 1010.15 1009.67
2017 1011.78 1014.82 1015.70 1017.62 1015.75 1015.58 1013.70 1014.15 1012.85 1014.75 1016.93 1013.25
2018 1014.48 1014.42 1016.35 1013.68 1014.05 1013.05 1014.58 1014.33 1016.28 1017.20 1015.27 1013.53
2019 1014.67 1013.23 1017.77 1016.63 1014.43 1015.40 1011.08 1012.18 1015.10 1013.38 1010.07 1011.22
2020 1014.13 1015.17 1016.72 1013.12 1014.83 1014.63 1013.00 1013.53 1014.48 1016.42 1013.88 1013.98
